"","trt","BAR","BJO","HOG","HOR","KAL","KUR","VAT","VIK","cc"
"1","TempControl-21psu",0.00871630023878949,0.0181832590308294,0.00911460320275041,0.012309100498949,0.00888266794960439,0.0101466007458098,0.010110404669256,0.00624979451824577,"mll"
"2","TempControl-7psu",0.00734592353575743,0.0106037999923931,0.00853679856324015,0.00500484470606123,0.00257395160581669,0.00489546564716927,0.0136808216134053,0.00937079354091767,"mll"
"3","TempWarm-16psu",0.0430151243295878,0.0581775014038377,0.0452748544082271,0.043431764767535,0.0354382473421728,0.042274130136084,0.048622400893911,0.0422436225169404,"mll"
"4","TempWarm-5psu",0.045128261543404,0.0556021382761411,0.0480627625037906,0.041036903987833,0.0338300459996461,0.0415566924012771,0.0545789993883267,0.0481495219406945,"mll"
"5","TempControl-21psu",0.00798694155968836,0.0183023148797625,0.00819072364121176,0.0130561837819121,0.00994482695244589,0.0106292029067329,0.00865817083691104,0.00529093522425913,"full"
"6","TempControl-7psu",0.00662757668091765,0.00860988699958254,0.00766430037064356,0.00399932483018119,0.00207720689029909,0.0039312205209114,0.0136677351124229,0.00899849955586203,"full"
"7","TempWarm-16psu",0.0346272952586907,0.0489373784267413,0.036427182928542,0.0365895365187742,0.0300286587267551,0.0352397632450556,0.0390429467766799,0.0338159972935556,"full"
"8","TempWarm-5psu",0.0367128182833948,0.044704486669777,0.0392173680316203,0.032825014483351,0.0271953438837387,0.0333844248962364,0.0460723733885967,0.0401457792601161,"full"
