"","pop","trt","offset_gf_af_mll","offset_gf_af_full","offset_gf_geno_mll","offset_gf_geno_full"
"1","BAR","TempControl-21psu",0.0450258706426524,0.0466270421920975,0.0490786082468778,0.0757031686195213
"2","BAR","TempControl-7psu",0.022452946327664,0.0152930156975932,0.03646091000673,0.0510150602602953
"3","BAR","TempWarm-16psu",0.0567602579570277,0.0498937600192261,0.0849818641213911,0.130291719636577
"4","BAR","TempWarm-5psu",0.0535326775682606,0.0444142120704405,0.0828482138992323,0.12517842947807
"5","BJO","TempControl-21psu",0.0489839795582145,0.0590671443302204,0.0599209950928221,0.0928084373319246
"6","BJO","TempControl-7psu",0.0253303316089955,0.0215281370410282,0.0376171887951399,0.0558247223670392
"7","BJO","TempWarm-16psu",0.05977500296806,0.0570827965650532,0.0912322032381791,0.142411432083045
"8","BJO","TempWarm-5psu",0.0564542394927617,0.0455758976269314,0.0854047849783409,0.131853848853331
"9","HOG","TempControl-21psu",0.0445567966263171,0.0462363597474249,0.0483599278168645,0.0749036582149313
"10","HOG","TempControl-7psu",0.0220709134727062,0.0149374506192516,0.0370764159429167,0.0510938890253881
"11","HOG","TempWarm-16psu",0.0564187114274474,0.0493570674046206,0.0848391483017739,0.129357790771983
"12","HOG","TempWarm-5psu",0.0532026971367786,0.043997781671916,0.0831672720430263,0.124558798435792
"13","HOR","TempControl-21psu",0.0465532624117094,0.0505742249602415,0.054211245591984,0.0822463901090242
"14","HOR","TempControl-7psu",0.0212567663209146,0.0146281244172392,0.0306280848445055,0.042634624078671
"15","HOR","TempWarm-16psu",0.0555373170181798,0.0506349660108847,0.0840643264739334,0.129374025983507
"16","HOR","TempWarm-5psu",0.0520169073558412,0.04253103575938,0.078500530096678,0.119382749229989
"17","KAL","TempControl-21psu",0.0447782873052258,0.0489752070751488,0.0519939833917116,0.0775834372250432
"18","KAL","TempControl-7psu",0.0174460326287677,0.00984940166494597,0.0268338847263667,0.0336601636251709
"19","KAL","TempWarm-16psu",0.0521631233134063,0.0466114563757603,0.0802544635043475,0.120034575652212
"20","KAL","TempWarm-5psu",0.048418031359686,0.0379840823969519,0.0744780182986624,0.109375031083921
"21","KUR","TempControl-21psu",0.045867507003724,0.048946930666847,0.0535413706865548,0.0819319947767753
"22","KUR","TempControl-7psu",0.0208500295171911,0.0133634853544149,0.0325305541759595,0.0446089042446935
"23","KUR","TempWarm-16psu",0.0554952223177278,0.0493623788322403,0.0851243329895743,0.130108285986464
"24","KUR","TempWarm-5psu",0.0520363284712835,0.0419345972251541,0.0804330321585454,0.120819888114614
"25","VAT","TempControl-21psu",0.0330913407608514,0.0372210202136709,0.043362328201887,0.0648669175175783
"26","VAT","TempControl-7psu",0.0459697615717648,0.0405500235276897,0.048850145099321,0.0713196542449804
"27","VAT","TempWarm-16psu",0.0680581301919604,0.058498235089436,0.0862955321936636,0.132830775587862
"28","VAT","TempWarm-5psu",0.0679863963925196,0.0652544868696293,0.0901408957468414,0.138793715153451
"29","VIK","TempControl-21psu",0.0385619449886241,0.0384366738686726,0.0388485636807072,0.0534623957198638
"30","VIK","TempControl-7psu",0.022520629333749,0.0178507266484481,0.0417944880358398,0.0604427054956303
"31","VIK","TempWarm-16psu",0.0543434679487873,0.0450986726309493,0.0814095548178281,0.120379379309693
"32","VIK","TempWarm-5psu",0.0524862050930016,0.0455248851344095,0.0850223786465684,0.127421510466323
