"","trt","BAR","BJO","HOG","HOR","KAL","KUR","VAT","VIK","cc"
"1","TempControl-21psu",0.0040647366259933,0.0063347293739537,0.0039360324937803,0.00432346378266574,0.00246043533246011,0.00330762244488999,0.00625240435578998,0.00254915170404032,"mll"
"2","TempControl-7psu",0.00285401360159667,0.00457461194218101,0.00287385768993511,0.00280599163243272,0.00100880188203264,0.00208531173421657,0.00570377250361469,0.00248873694657143,"mll"
"3","TempWarm-16psu",0.0202934070646781,0.0254611489840709,0.0204068345088037,0.0206928582305096,0.0152045575269761,0.0187255307783601,0.0250313720241925,0.0182765965221236,"mll"
"4","TempWarm-5psu",0.0198069085213615,0.0246285269110891,0.0200748368757736,0.0200125063556745,0.0146303408360086,0.0183434368117665,0.0250090216254747,0.0188467277387558,"mll"
"5","TempControl-21psu",0.00804478773217245,0.0105293156385163,0.0077904741343639,0.00710169279568476,0.00607515088946437,0.0062167404553572,0.00814530048095934,0.00413170026283491,"full"
"6","TempControl-7psu",0.00270093391953567,0.00443882069143295,0.00292936882139352,0.00205739819501282,0.00104728791835721,0.0019820389632018,0.00448884936090168,0.00296109662542426,"full"
"7","TempWarm-16psu",0.0205304323398759,0.0259445396480231,0.0210262159754003,0.0192186725733784,0.0160895480113905,0.0186055760510806,0.022239954200217,0.0177792208821486,"full"
"8","TempWarm-5psu",0.0178027249906017,0.0227187340884372,0.0187442940309907,0.0168712416643329,0.0137813592372174,0.0169960003139902,0.0208892842265433,0.0187864147161089,"full"
