gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	taxonomicIssue	nonTaxonomicIssue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	superfamilyKey	familyKey	subfamilyKey	tribeKey	subtribeKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	isInvasive	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
6235868601				CC_BY_NC_4_0	2026-04-15T19:38:46Z		https://www.inaturalist.org/observations/333948048	naomiyama					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/333948048	333948048		naomiyama															PRESENT																							2026-01-08T09:27:19	09:27:19+01:00	8	8	2026	1	8	Thu Jan 08 2026 09:27:19 GMT +0100 (GMT)											EUROPE				DK	Hovedstaden				København N								55.691143	12.554729	10.0																															747884305				naomiyama		2026-01-08T08:27:45				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T12:18:48.043Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T12:18:48.043Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA	DNK	Denmark	DNK.1_1	Hovedstaden	DNK.1.25_1	København			LC
6235296409				CC_BY_4_0	2026-04-15T19:21:23Z		https://www.inaturalist.org/observations/342922987	Daniel Ellehammer Larsen					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/342922987	342922987		Daniel Ellehammer Larsen															PRESENT																							2026-03-14T14:41:14	14:41:14+01:00	73	73	2026	3	14	2026-03-14 14:41:14											EUROPE				DK	Hovedstaden				Udsholt Strand, Græsted, Denmark								56.110622	12.187394																																773881266				Daniel Ellehammer Larsen		2026-03-14T15:38:43				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T12:32:56.459Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T12:32:56.459Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA	DNK	Denmark	DNK.1_1	Hovedstaden	DNK.1.16_1	Gribskov			LC
5935411616				CC_BY_NC_4_0	2025-12-30T14:34:20Z		https://www.inaturalist.org/observations/329938823	caleidoskopable					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/329938823	329938823		caleidoskopable															PRESENT																							2023-01-07T14:51	14:51:00+01:00	7	7	2023	1	7	2023/01/07 2:51 PM											EUROPE				DK	Hovedstaden				Dragør, Denmark								55.594023	12.660503	4343.0																															735612172				caleidoskopable		2025-12-08T04:54:06				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T12:02:36.928Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T12:02:36.928Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA	DNK	Denmark	DNK.1_1	Hovedstaden	DNK.1.7_1	Dragør			LC
5230933223				CC_BY_NC_4_0	2025-07-20T20:05:15Z		https://www.inaturalist.org/observations/298165324	Chiara D’Agata					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/298165324	298165324		Chiara D’Agata															PRESENT																							2025-07-09T14:49:14	14:49:14+02:00	190	190	2025	7	9	2025-07-09 14:49:14											EUROPE				SE	Gotland				Snäckgärdsvägen, Visby, Gotland County, SE								57.663192	18.318337	347.0																															665574929				Chiara D’Agata		2025-07-15T20:25:20				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T12:29:55.783Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T12:29:55.783Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA									LC
5230426001				CC_BY_NC_4_0	2025-07-21T12:15:49Z		https://www.inaturalist.org/observations/299455782	martinskands					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/299455782	299455782		martinskands															PRESENT																							2025-07-20T11:24:02	11:24:02+02:00	201	201	2025	7	20	Sun Jul 20 2025 11:24:02 GMT +0200 (GMT)											EUROPE				DK	Hovedstaden				Klampenborg								55.806961	12.583439	9.0																															667930494				martinskands		2025-07-20T09:24:10				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T11:52:07.309Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T11:52:07.309Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA	DNK	Denmark	DNK.1_1	Hovedstaden	DNK.1.26_1	Lyngby-Taarbæk			LC
5230048480				CC0_1_0	2025-07-12T01:06:39Z		https://www.inaturalist.org/observations/297074494	Morten Rosenvold Villadsen					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/297074494	297074494		Morten Rosenvold Villadsen															PRESENT																							2025-07-06		187	187	2025	7	6	2025-07-06											EUROPE				DK	Hovedstaden				Danmark								55.943005	11.859161	257.0																															663299896				Morten Rosenvold Villadsen		2025-07-11T18:02:34				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T12:01:23.243Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T12:01:23.243Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA									LC
5176775620				CC_BY_NC_4_0	2025-09-25T06:52:33Z		https://www.inaturalist.org/observations/284873090	Sven Ängermark					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/284873090	284873090		Sven Ängermark															PRESENT																							2013-07-27T17:11:53	17:11:53+02:00	208	208	2013	7	27	2013-07-27 17:11:53+02:00											EUROPE				SE	Västra Götaland				Askeröfjorden, Askerön, Västra Götalands län, SE								58.084508	11.754798	100.0																															639675332				Sven Ängermark		2025-05-28T18:24:44				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	SE	2026-05-02T12:01:14.705Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T12:01:14.705Z	2026-04-30T15:51:32.523Z		false			false	EUROPE	EUROPE									LC
5168546320				CC_BY_NC_4_0	2025-05-24T05:43:07Z		https://www.inaturalist.org/observations/283365056	Björn Källström					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/283365056	283365056		Björn Källström															PRESENT																							2021-06-20T14:12	14:12:00+02:00	171	171	2021	6	20	2021/06/20 2:12 PM											EUROPE				SE	Västra Götaland				Hönö, Sweden								57.698822	11.678109	15.0																															636735583				Björn Källström		2025-05-23T13:14:37				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	SE	2026-05-02T11:40:21.464Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T11:40:21.464Z	2026-04-30T15:51:32.523Z		false			false	EUROPE	EUROPE									LC
5167567093				CC_BY_NC_4_0	2025-05-23T14:20:09Z		https://www.inaturalist.org/observations/283350167	Björn Källström					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/283350167	283350167		Björn Källström															PRESENT																							2019-08-10T16:55	16:55:00+02:00	222	222	2019	8	10	2019/08/10 4:55 PM											EUROPE				SE	Västra Götaland				Strömstad Municipality, Sweden								58.946237	11.171209																																636704776				Björn Källström		2025-05-23T11:43:00				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T12:14:20.060Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T12:14:20.060Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA	SWE	Sweden	SWE.21_1	Västra Götaland	SWE.21.38_1	Strömstad			LC
5069833802				CC_BY_NC_4_0	2025-04-15T09:35:53Z		https://www.inaturalist.org/observations/261437542	Mario Aliana Pedrosa					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/261437542	261437542		Mario Aliana Pedrosa															PRESENT								They grow up in a nearby sandbank. When the weather catches on, they get sent into the shore and eventually rottens up.															2025-02-12T13:19:25	13:19:25+01:00	43	43	2025	2	12	2025-02-12 13:19:25											EUROPE				DK	Hovedstaden				Søvej, Dragør, Capital Region of Denmark, DK								55.570788	12.623378	3.0																															591780863				Mario Aliana Pedrosa		2025-02-12T12:37:41				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T11:51:06.245Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T11:51:06.245Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA	DNK	Denmark	DNK.1_1	Hovedstaden	DNK.1.7_1	Dragør			LC
5069735312				CC_BY_NC_4_0	2026-04-14T17:47:51Z		https://www.inaturalist.org/observations/9830086	Lena Struwe					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/9830086	9830086		Lena Struwe															PRESENT								The think green leaves on the seafloor (this is taken down into the sea)															2012-04-03T08:53	08:53:00-04:00	94	94	2012	4	3	2012/04/03 8:53 AM EDT											EUROPE				SE	Västra Götaland				Södra Hamnen 6, 471 32 Skärhamn, Sweden								57.98806	11.539848	172.0																															585430833				Ollie Thomas		2025-01-21T21:13:07				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T12:00:45.395Z						CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T12:00:45.395Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA	SWE	Sweden	SWE.21_1	Västra Götaland	SWE.21.43_1	Tjörn			LC
5063663038				CC_BY_NC_4_0	2025-04-14T00:51:12Z		https://www.inaturalist.org/observations/260264828	Morten Christensen					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/260264828	260264828		Morten Christensen															PRESENT																							2025-02-01T13:08:39	13:08:39+01:00	32	32	2025	2	1	2025-02-01 13:08:39+01:00											EUROPE				DK	Sjælland				Nyrup Bugt, Rørvig, Region Sjælland, DK								55.962272	11.735033	2.0																															588506221				Morten Christensen		2025-02-01T15:05:15				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T11:39:34.726Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T11:39:34.726Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA									LC
5037179817				CC_BY_NC_4_0	2025-01-13T16:45:25Z		https://www.inaturalist.org/observations/257926511	lappuggla					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/257926511	257926511		lappuggla															PRESENT																							2025-01-09T12:16	12:16:00+01:00	9	9	2025	1	9	2025/01/09 12:16 PM											EUROPE				SE	Kalmar				Ventlinge strand, Mörbylånga, Sverige								56.291086	16.395092	371.0																															581842506				lappuggla		2025-01-09T15:08:10				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T11:50:51.880Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T11:50:51.880Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA									LC
5037171482				CC_BY_NC_4_0	2025-04-12T02:59:37Z		https://www.inaturalist.org/observations/258344640	Mikael Bauer					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/258344640	258344640		Mikael Bauer															PRESENT																							2025-01-12T11:57:44	11:57:44+01:00	12	12	2025	1	12	2025-01-12 11:57:44+01:00											EUROPE				SE	Skåne				Köpenhamnsstigen, Malmö, Skåne län, SE								55.597008	12.955117	126.0																															582976415				Mikael Bauer		2025-01-13T05:36:19				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T12:27:44.995Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T12:27:44.995Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA	SWE	Sweden	SWE.13_1	Skåne	SWE.13.19_1	Malmö			LC
5008441672				CC_BY_4_0	2025-04-11T01:48:52Z		https://www.inaturalist.org/observations/257265997	Tobias S. Radmer					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/257265997	257265997		Tobias S. Radmer															PRESENT																							2025-01-02T13:03	13:03:00+01:00	2	2	2025	1	2	2025/01/02 13:03											EUROPE				DK	Sjælland				Køge, Sjælland, Denmark								55.476737	12.198305																																579934854				Tobias S. Radmer		2025-01-03T19:33:17				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T11:50:54.655Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T11:50:54.655Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA									LC
5008365545				CC_BY_NC_4_0	2025-04-16T02:45:31Z		https://www.inaturalist.org/observations/255690468	Mika Tomta					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/255690468	255690468		Mika Tomta															PRESENT																							2024-12-20T11:12	11:12:00+01:00	355	355	2024	12	20	2024/12/20 11:12 AM											EUROPE				NO	Ãstfold				Hvaler Municipality, Norway								59.046214	10.931619	2.0																															575672206				Mika Tomta		2024-12-20T17:10:50				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T11:39:30.955Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T11:39:30.955Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA	NOR	Norway	NOR.2_1	Ãstfold	NOR.2.8_1	Hvaler			LC
5008175261				CC_BY_NC_4_0	2025-04-04T14:20:17Z		https://www.inaturalist.org/observations/60981845	petersc					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/60981845	60981845		petersc															PRESENT																							2020-09-27T12:28	12:28:00+02:00	271	271	2020	9	27	2020/09/27 12:28 PM CEST											EUROPE				DK	Hovedstaden				Amager Øst, København, Danmark								55.662701	12.636915	4.0																															133062002				petersc		2020-09-27T16:56:30				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T12:27:35.341Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T12:27:35.341Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA									LC
5008092357				CC_BY_4_0	2025-04-11T01:48:53Z		https://www.inaturalist.org/observations/257266009	Tobias S. Radmer					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/257266009	257266009		Tobias S. Radmer															PRESENT																							2025-01-02T13:15	13:15:00+01:00	2	2	2025	1	2	2025/01/02 13:15											EUROPE				DK	Sjælland				4600 Køge, Danmark								55.484087	12.202767																																579934872				Tobias S. Radmer		2025-01-03T19:33:21				52614								Zostera marina L.								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera	Zostera			marina			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2026-05-02T11:50:51.047Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND			StillImage	true	false	2863967	2863967	6	7707728	196	551		3725				2863960		2863967	Zostera marina	Zostera marina L.	Zostera marina		DWC_ARCHIVE	2026-05-02T11:50:51.047Z	2026-04-30T15:51:32.523Z		true			false	EUROPE	NORTH_AMERICA	DNK	Denmark	DNK.4_1	Sjælland	DNK.4.6_1	Køge			LC
